,Trial,Left/Right,Category,Response,ResponseTime(ms),Focus
0,1,R,HAS,HAS,657.843994140625,False
1,2,L,AFS,HAS,952.5791015625,False
2,3,R,HAS,HAS,636.707763671875,True
3,4,R,HAS,HAS,668.292724609375,False
4,5,R,AFS,AFS,616.919921875,True
5,6,R,AFS,AFS,539.646728515625,False
6,7,R,AFS,AFS,623.9404296875,True
7,8,L,HAS,HAS,561.330322265625,True
8,9,L,AFS,AFS,714.016845703125,True
9,10,R,HAS,HAS,675.29833984375,False
10,11,R,AFS,AFS,683.639892578125,True
11,12,L,HAS,HAS,573.830810546875,True
12,13,R,HAS,HAS,614.655029296875,True
13,14,L,AFS,AFS,601.48876953125,True
14,15,L,HAS,HAS,584.2646484375,True
15,16,R,HAS,HAS,605.790771484375,False
16,17,L,AFS,AFS,641.50244140625,True
17,18,L,AFS,AFS,662.52392578125,True
18,19,L,AFS,AFS,690.22509765625,True
19,20,L,AFS,AFS,647.534912109375,True
20,21,L,AFS,AFS,638.779296875,False
21,22,L,AFS,HAS,614.673583984375,False
22,23,L,HAS,HAS,523.357421875,False
23,24,R,HAS,HAS,590.46337890625,True
24,25,L,AFS,AFS,634.652099609375,False
25,26,R,HAS,HAS,654.50244140625,True
26,27,L,HAS,HAS,830.6328125,False
27,28,R,HAS,HAS,724.365234375,True
28,29,R,AFS,AFS,536.740234375,False
29,30,R,AFS,AFS,461.314208984375,False
30,31,R,HAS,HAS,607.83349609375,True
31,32,R,AFS,AFS,773.78759765625,False
32,33,L,HAS,HAS,629.5205078125,False
33,34,L,HAS,HAS,655.687255859375,True
34,35,R,HAS,HAS,538.474609375,True
35,36,L,AFS,AFS,557.46337890625,False
36,37,R,HAS,HAS,581.2177734375,True
37,38,L,AFS,AFS,505.212890625,False
38,39,L,HAS,HAS,541.027099609375,False
39,40,R,AFS,AFS,503.801025390625,False
40,41,R,AFS,AFS,765.429443359375,False
41,42,R,AFS,AFS,568.114990234375,False
42,43,R,HAS,HAS,526.16552734375,False
43,44,R,HAS,AFS,592.669189453125,False
44,45,L,HAS,HAS,804.99658203125,True
45,46,R,HAS,HAS,571.89404296875,True
46,47,L,AFS,AFS,504.602783203125,False
47,48,L,AFS,AFS,579.072021484375,False
48,49,R,HAS,HAS,550.00146484375,False
49,50,R,HAS,HAS,582.943603515625,False
50,51,L,HAS,HAS,553.3935546875,False
51,52,L,AFS,AFS,495.7822265625,True
52,53,R,HAS,HAS,603.94873046875,False
53,54,L,AFS,AFS,486.839111328125,False
54,55,R,AFS,AFS,685.9462890625,False
55,56,R,AFS,AFS,570.814453125,False
56,57,L,HAS,HAS,710.50830078125,False
57,58,R,AFS,AFS,576.9326171875,False
58,59,R,HAS,HAS,560.581298828125,False
59,60,R,AFS,AFS,662.395751953125,False
60,61,R,AFS,AFS,591.2294921875,False
61,62,L,HAS,HAS,507.630615234375,True
62,63,R,HAS,HAS,539.558349609375,True
63,64,R,AFS,AFS,593.0009765625,True
64,65,R,AFS,AFS,575.922607421875,True
65,66,L,AFS,AFS,555.9345703125,False
66,67,L,HAS,HAS,596.752197265625,True
67,68,L,AFS,AFS,611.773193359375,False
68,69,R,AFS,AFS,535.352294921875,True
69,70,L,HAS,HAS,481.65576171875,True
70,71,R,AFS,AFS,556.45068359375,True
71,72,L,HAS,HAS,506.9462890625,True
72,73,L,AFS,AFS,728.870361328125,False
73,74,L,HAS,HAS,508.21484375,False
74,75,R,HAS,HAS,640.9267578125,False
75,76,R,AFS,AFS,499.16943359375,True
76,77,R,AFS,AFS,546.79541015625,False
77,78,L,HAS,HAS,497.7041015625,False
78,79,L,AFS,AFS,566.903564453125,False
79,80,R,AFS,AFS,829.776611328125,False
80,81,R,HAS,AFS,693.528564453125,True
81,82,R,HAS,HAS,649.4794921875,False
82,83,R,AFS,AFS,602.163330078125,True
